,Median of the Massdistribution in kDa,Sigma parameter of the Massdistribution,Volume fraction,Rate constant,beta,beta,beta,beta,alpha E,alpha E,alpha E,alpha E,alpha ES,alpha ES,alpha ES,alpha ES,alpha P,alpha P,alpha P,alpha P,alpha S,alpha S,alpha S,alpha S
,,,,,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value
0,31.9,0.825,0.0,k1_bwd,-0.014756171210216714,-0.01482171055800473,-0.014690631862428699,0.0,-0.00018996584195793604,-0.00031740920514364637,-6.252247877222574e-05,0.003488729188614917,-1.8917136047390552e-05,-0.00014651609543812956,0.00010868182334334845,0.7713486948317397,-0.0029360902263253575,-0.0029761556331515124,-0.0028960248194992025,0.0,-0.002936232106218257,-0.002976297513044412,-0.002896166699392102,0.0
1,31.9,0.825,0.0,k1_fwd,0.07313186029193425,0.07029297264001454,0.07597074794385396,0.0,0.010657803520008065,0.003544852797457719,0.01777075424255841,0.00332194060263805,0.005284152898253959,-0.0006355982686852574,0.011203904065193176,0.08019231414507644,0.00025562547653320324,-0.0014595320060210447,0.0019707829590874513,0.7701728035814398,0.004735628026615096,0.002870992987259395,0.006600263065970797,6.552938255951277e-07
2,31.9,0.825,0.0,k2_bwd,0.06879489446747342,0.06567525559138034,0.0719145333435665,0.0,0.0004810697173589064,-0.005599622877650911,0.006561762312368724,0.8767570754803089,0.001022833276443791,-0.004806323578638697,0.006851990131526278,0.7308794937759122,0.0065921456310595854,0.004600732531986803,0.008583558730132368,9.199771858057634e-11,-0.0002297661099860549,-0.0020041229285539352,0.0015445907085818254,0.7996239828674113
3,31.9,0.825,0.0,k2_fwd,-0.01475573622233773,-0.014821260556414551,-0.01469021188826091,0.0,-0.00018984095668022667,-0.00031726091126366433,-6.242100209678903e-05,0.0035042500839577925,-1.9128717712828388e-05,-0.00014670404194611398,0.0001084466065204572,0.7688220863238069,-0.002936230419786162,-0.0029762879304983106,-0.002896172909074014,0.0,-0.0029363680354143815,-0.00297642554612653,-0.002896310524702233,0.0
4,31.9,0.825,0.1,k1_bwd,-0.11735067173974212,-0.11750980719362973,-0.1171915362858545,0.0,0.0017081193975881557,0.0013964610712605362,0.002019777723915775,1.010670871476401e-26,0.003457177780224802,0.003142959364963012,0.003771396195486592,5.107549049430483e-100,-0.0035750086778206665,-0.00367250433467106,-0.003477513020970273,0.0,-0.0035643976661084947,-0.003661027189439328,-0.0034677681427776616,0.0
5,31.9,0.825,0.1,k1_fwd,0.26138249105802336,0.25774306162373894,0.26502192049230777,0.0,0.01979283936881296,0.011444523608127984,0.028141155129497934,3.4178551018951016e-06,0.013409498854565782,0.005409160991991627,0.021409836717139936,0.001022241315751523,0.0025114206446139094,0.0001594039906973664,0.004863437298530452,0.03637076265872756,-0.0001133873226313053,-0.002434735177091381,0.0022079605318287704,0.9237206003240055
6,31.9,0.825,0.1,k2_bwd,0.2543764245835605,0.25099681642864513,0.2577560327384759,0.0,0.0039282311125042775,-0.003278182021640745,0.0111346442466493,0.28530356057087336,-0.0028008537009369325,-0.008780312404231857,0.0031786050023579916,0.3585310487114792,0.0027550521965083656,0.0006993295382768804,0.00481077485473985,0.008628375557121233,0.00011628674659887599,-0.0018068299024400392,0.002039403395637791,0.9056472204117453
7,31.9,0.825,0.1,k2_fwd,-0.11734724715020078,-0.11750637937382932,-0.11718811492657225,0.0,0.0017108612667562154,0.0013992070851529786,0.002022515448359452,8.394885552936107e-27,0.0034597304524436184,0.0031455132559248455,0.0037739476489623914,3.6901506070610307e-100,-0.003575233185435539,-0.003672728598950005,-0.003477737771921073,0.0,-0.0035643954943902286,-0.003661024679037118,-0.003467766309743339,0.0
8,31.9,0.825,0.2,k1_bwd,-0.2803085488761447,-0.2805736905064133,-0.2800434072458761,0.0,0.0006472950673686662,0.0001287246738203154,0.001165865460917017,0.01443285678572307,-0.0001777238574740491,-0.0006964781654334133,0.00034103045048531515,0.5018659956694662,-0.004523846203125894,-0.004684577825174901,-0.0043631145810768875,0.0,-0.0045257456250006566,-0.004686477247049663,-0.00436501400295165,0.0
9,31.9,0.825,0.2,k1_fwd,0.4571833081263714,0.4537346506350341,0.46063196561770875,0.0,0.009665609791322423,0.0016549950602602163,0.01767622452238463,0.01804219894169375,0.002003758339968277,-0.005006284633949496,0.009013801313886051,0.5752706835055319,-0.0034743517039511904,-0.005637603590259723,-0.001311099817642658,0.0016484196211353406,0.0032169881358727072,0.0010289500670933207,0.005405026204652094,0.003961409266852012
10,31.9,0.825,0.2,k2_bwd,0.45764070236927157,0.45427795718121566,0.4610034475573275,0.0,0.010486467751046743,0.0030348342470102423,0.017938101255083244,0.005818393288020573,0.005680753204505199,-0.001116419006683092,0.012477925415693491,0.10139879649881268,0.004700371549560845,0.002538030639549408,0.006862712459572281,2.0592609146537365e-05,-0.002294808677418167,-0.004400427171041048,-0.00018919018379528552,0.03267825484794509
