,Median of the Massdistribution in kDa,Sigma parameter of the Massdistribution,Volume fraction,Rate constant,beta,beta,beta,beta,alpha E,alpha E,alpha E,alpha E,alpha ES,alpha ES,alpha ES,alpha ES,alpha P,alpha P,alpha P,alpha P,alpha S,alpha S,alpha S,alpha S
,,,,,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value,Estimate,0.025,0.975,p-value
0,31.9,0.825,0.0,k1_bwd,-0.01475617121021672,-0.014821710558004735,-0.014690631862428704,0.0,-0.0001899658419579347,-0.00031740920514364496,-6.252247877222444e-05,0.003488729188615142,-1.8917136047391298e-05,-0.0001465160954381304,0.00010868182334334782,0.7713486948317313,-0.0029360902263253536,-0.0029761556331515085,-0.0028960248194991986,0.0,-0.0029362321062182586,-0.0029762975130444135,-0.0028961666993921036,0.0
1,31.9,0.825,0.0,k1_fwd,0.07313186029193426,0.07029297264001455,0.07597074794385397,0.0,0.010657803520008075,0.0035448527974577407,0.01777075424255841,0.00332194060263797,0.00528415289825398,-0.0006355982686852332,0.011203904065193193,0.08019231414507504,0.00025562547653319603,-0.0014595320060210525,0.001970782959087445,0.7701728035814464,0.004735628026615127,0.0028709929872594254,0.006600263065970829,6.552938255950216e-07
2,31.9,0.825,0.0,k2_bwd,0.06879489446747343,0.06567525559138035,0.07191453334356651,0.0,0.000481069717358955,-0.005599622877650858,0.006561762312368768,0.8767570754802965,0.0010228332764438042,-0.004806323578638682,0.00685199013152629,0.7308794937759087,0.0065921456310595854,0.004600732531986805,0.008583558730132366,9.199771858057432e-11,-0.0002297661099860596,-0.0020041229285539396,0.0015445907085818202,0.7996239828674073
3,31.9,0.825,0.0,k2_fwd,-0.014755736222337725,-0.014821260556414546,-0.014690211888260904,0.0,-0.0001898409566802154,-0.0003172609112636529,-6.242100209677789e-05,0.003504250083959705,-1.9128717712820074e-05,-0.00014670404194610558,0.00010844660652046544,0.7688220863239044,-0.002936230419786163,-0.0029762879304983114,-0.0028961729090740147,0.0,-0.002936368035414384,-0.0029764255461265324,-0.0028963105247022357,0.0
4,31.9,0.825,0.1,k1_bwd,-0.11735067173974233,-0.11750980719362994,-0.11719153628585471,0.0,0.0017081193975881765,0.0013964610712605568,0.002019777723915796,1.0106708714751406e-26,0.003457177780224827,0.0031429593649630366,0.0037713961954866176,5.107549049416518e-100,-0.0035750086778206422,-0.0036725043346710357,-0.0034775130209702488,0.0,-0.0035643976661084704,-0.0036610271894393035,-0.0034677681427776373,0.0
5,31.9,0.825,0.1,k1_fwd,0.26138249105802547,0.257743061623741,0.26502192049230994,0.0,0.0197928393688127,0.011444523608127722,0.028141155129497678,3.41785510189612e-06,0.013409498854565704,0.005409160991991553,0.021409836717139856,0.0010222413157515886,0.0025114206446139264,0.0001594039906973833,0.004863437298530469,0.03637076265872634,-0.00011338732263133151,-0.002434735177091405,0.002207960531828742,0.923720600323988
6,31.9,0.825,0.1,k2_bwd,0.2543764245835599,0.2509968164286445,0.2577560327384753,0.0,0.003928231112504276,-0.0032781820216407475,0.011134644246649299,0.2853035605708736,-0.002800853700936916,-0.008780312404231832,0.0031786050023580002,0.358531048711482,0.0027550521965084046,0.0006993295382769177,0.004810774854739892,0.008628375557120344,0.00011628674659890071,-0.0018068299024400127,0.002039403395637814,0.9056472204117253
7,31.9,0.825,0.1,k2_fwd,-0.11734724715020045,-0.11750637937382899,-0.11718811492657191,0.0,0.0017108612667562258,0.0013992070851529894,0.002022515448359462,8.394885552928706e-27,0.0034597304524435803,0.0031455132559248073,0.003773947648962353,3.690150607078375e-100,-0.003575233185435539,-0.003672728598950005,-0.003477737771921073,0.0,-0.003564395494390223,-0.0036610246790371123,-0.0034677663097433336,0.0
8,31.9,0.825,0.2,k1_bwd,-0.2803085488761458,-0.2805736905064144,-0.28004340724587723,0.0,0.0006472950673687347,0.00012872467382038435,0.0011658654609170852,0.014432856785712619,-0.0001777238574739392,-0.0006964781654333039,0.00034103045048542547,0.5018659956697309,-0.004523846203125858,-0.004684577825174865,-0.004363114581076851,0.0,-0.0045257456250006175,-0.004686477247049624,-0.004365014002951611,0.0
